name,year,movie_tv_id,movie_tv_name,type,department,job,actor_id,created_at,updated_at
Olli Varja,1986,7,Varjoja paratiisissa,movie,Lighting,Gaffer,1381113,2022-09-03 17:01:12,2022-09-03 17:01:12
Heikki Ortamo,1986,7,Varjoja paratiisissa,movie,Camera,Assistant Camera,1540906,2022-09-03 17:01:12,2022-09-03 17:01:12
Kjell Westman,1986,7,Varjoja paratiisissa,movie,Sound,Sound Re-Recording Mixer,1683985,2022-09-03 17:01:12,2022-09-03 17:01:12
Timo Markko,1986,7,Varjoja paratiisissa,movie,Camera,Assistant Camera,1750241,2022-09-03 17:01:12,2022-09-03 17:01:12
Leena Kouhia,1986,7,Varjoja paratiisissa,movie,Costume & Make-Up,Makeup Artist,1761858,2022-09-03 17:01:12,2022-09-03 17:01:12
Timo Nousiainen,1986,7,Varjoja paratiisissa,movie,Editing,Colorist,2159272,2022-09-03 17:01:12,2022-09-03 17:01:12
Haije Alanoja,1986,7,Varjoja paratiisissa,movie,Production,Production Secretary,2159274,2022-09-03 17:01:12,2022-09-03 17:01:12
Eila Karkkunen,1986,7,Varjoja paratiisissa,movie,Editing,Negative Cutter,3479190,2022-09-03 17:01:12,2022-09-03 17:01:12
Allison Anders,1995,8,Four Rooms,movie,Directing,Director,3110,2022-09-03 17:01:12,2022-09-03 17:01:12
Allison Anders,1995,8,Four Rooms,movie,Writing,Writer,3110,2022-09-03 17:01:12,2022-09-03 17:01:12
Alexandre Rockwell,1995,8,Four Rooms,movie,Directing,Director,3111,2022-09-03 17:01:12,2022-09-03 17:01:12
Alexandre Rockwell,1995,8,Four Rooms,movie,Production,Executive Producer,3111,2022-09-03 17:01:12,2022-09-03 17:01:12
Alexandre Rockwell,1995,8,Four Rooms,movie,Writing,Writer,3111,2022-09-03 17:01:12,2022-09-03 17:01:12
Robert Rodriguez,1995,8,Four Rooms,movie,Directing,Director,2294,2022-09-03 17:01:12,2022-09-03 17:01:12
Robert Rodriguez,1995,8,Four Rooms,movie,Editing,Editor,2294,2022-09-03 17:01:12,2022-09-03 17:01:12
Robert Rodriguez,1995,8,Four Rooms,movie,Writing,Writer,2294,2022-09-03 17:01:12,2022-09-03 17:01:12
Quentin Tarantino,1995,8,Four Rooms,movie,Directing,Director,138,2022-09-03 17:01:12,2022-09-03 17:01:12
Quentin Tarantino,1995,8,Four Rooms,movie,Production,Executive Producer,138,2022-09-03 17:01:12,2022-09-03 17:01:12
Quentin Tarantino,1995,8,Four Rooms,movie,Writing,Writer,138,2022-09-03 17:01:12,2022-09-03 17:01:12
Combustible Edison,1995,8,Four Rooms,movie,Sound,Original Music Composer,3116,2022-09-03 17:01:12,2022-09-03 17:01:12
Gary Frutkoff,1995,8,Four Rooms,movie,Art,Production Design,3117,2022-09-03 17:01:12,2022-09-03 17:01:12
Lance Brown,1995,8,Four Rooms,movie,Sound,Sound Designer,3119,2022-09-03 17:01:12,2022-09-03 17:01:12
Lawrence Bender,1995,8,Four Rooms,movie,Production,Producer,2545,2022-09-03 17:01:12,2022-09-03 17:01:12
Heidi Vogel,1995,8,Four Rooms,movie,Production,Co-Producer,37333,2022-09-03 17:01:12,2022-09-03 17:01:12
Paul Hellerman,1995,8,Four Rooms,movie,Production,Production Manager,37334,2022-09-03 17:01:12,2022-09-03 17:01:12
Paul Hellerman,1995,8,Four Rooms,movie,Production,Co-Producer,37334,2022-09-03 17:01:12,2022-09-03 17:01:12
Scott Lambert,1995,8,Four Rooms,movie,Production,Co-Producer,37335,2022-09-03 17:01:12,2022-09-03 17:01:12
Russell Gray,1995,8,Four Rooms,movie,Production,Casting,3118,2022-09-03 17:01:12,2022-09-03 17:01:12
Mayne Berke,1995,8,Four Rooms,movie,Art,Art Direction,11423,2022-09-03 17:01:12,2022-09-03 17:01:12
Sara Andrews,1995,8,Four Rooms,movie,Art,Set Decoration,9042,2022-09-03 17:01:12,2022-09-03 17:01:12
Sally Menke,1995,8,Four Rooms,movie,Editing,Editor,156,2022-09-03 17:01:12,2022-09-03 17:01:12
Guillermo Navarro,1995,8,Four Rooms,movie,Camera,Director of Photography,3113,2022-09-03 17:01:12,2022-09-03 17:01:12
Mark Mothersbaugh,1995,8,Four Rooms,movie,Sound,Music Producer,5666,2022-09-03 17:01:12,2022-09-03 17:01:12
Andrzej Sekula,1995,8,Four Rooms,movie,Camera,Director of Photography,3115,2022-09-03 17:01:12,2022-09-03 17:01:12
Karyn Rachtman,1995,8,Four Rooms,movie,Sound,Music Supervisor,6940,2022-09-03 17:01:12,2022-09-03 17:01:12
Elena Maganini,1995,8,Four Rooms,movie,Editing,Editor,3121,2022-09-03 17:01:12,2022-09-03 17:01:12
Phil Parmet,1995,8,Four Rooms,movie,Camera,Director of Photography,3114,2022-09-03 17:01:12,2022-09-03 17:01:12
Randi Hiller,1995,8,Four Rooms,movie,Production,Casting Associate,20540,2022-09-03 17:01:12,2022-09-03 17:01:12
Wayne Fitzgerald,1995,8,Four Rooms,movie,Art,Title Designer,81538,2022-09-03 17:01:12,2022-09-03 17:01:12
Mary Claire Hannan,1995,8,Four Rooms,movie,Costume & Make-Up,Costume Design,46589,2022-09-03 17:01:12,2022-09-03 17:01:12
Jonathan Brown,1995,8,Four Rooms,movie,Camera,Steadicam Operator,56791,2022-09-03 17:01:12,2022-09-03 17:01:12
Susan L. Bertram,1995,8,Four Rooms,movie,Costume & Make-Up,Costume Design,62277,2022-09-03 17:01:12,2022-09-03 17:01:12
Erik C. Andersen,1995,8,Four Rooms,movie,Editing,First Assistant Editor,64315,2022-09-03 17:01:12,2022-09-03 17:01:12
Debbie Hayn-Cass,1995,8,Four Rooms,movie,Production,Unit Production Manager,64744,2022-09-03 17:01:12,2022-09-03 17:01:12
Debbie Hayn-Cass,1995,8,Four Rooms,movie,Production,Production Supervisor,64744,2022-09-03 17:01:12,2022-09-03 17:01:12
Douglas Aarniokoski,1995,8,Four Rooms,movie,Directing,First Assistant Director,71901,2022-09-03 17:01:12,2022-09-03 17:01:12
