name,character,year,movie_tv_id,movie_tv_name,type,department,order,actor_id,created_at,updated_at
Peter Greene,Sykes,1993,9,Judgment Night,movie,Acting,5,11803,2022-09-03 17:01:12,2022-09-03 17:01:12
Michael DeLorenzo,"Teddy, the Kid",1993,9,Judgment Night,movie,Acting,6,52422,2022-09-03 17:01:12,2022-09-03 17:01:12
Everlast,Rhodes,1993,9,Judgment Night,movie,Acting,7,121667,2022-09-03 17:01:12,2022-09-03 17:01:12
Michael Wiseman,Travis,1993,9,Judgment Night,movie,Acting,8,102710,2022-09-03 17:01:12,2022-09-03 17:01:12
Relioues Webb,Dre,1993,9,Judgment Night,movie,Acting,9,1077264,2022-09-03 17:01:12,2022-09-03 17:01:12
Eugene Williams,Buck,1993,9,Judgment Night,movie,Acting,10,154124,2022-09-03 17:01:12,2022-09-03 17:01:12
Christine Harnos,Linda Wyatt,1993,9,Judgment Night,movie,Acting,11,55964,2022-09-03 17:01:12,2022-09-03 17:01:12
Galyn Görg,Clarissa,1993,9,Judgment Night,movie,Acting,12,105988,2022-09-03 17:01:12,2022-09-03 17:01:12
Angela Alvarado,Rita,1993,9,Judgment Night,movie,Acting,13,22621,2022-09-03 17:01:12,2022-09-03 17:01:12
Will Zahrn,Charley,1993,9,Judgment Night,movie,Acting,14,1226696,2022-09-03 17:01:12,2022-09-03 17:01:12
Rita Lengyel,Alexandra,2004,11,Sonntag im August,movie,Acting,0,901,2022-09-03 17:01:12,2022-09-03 17:01:12
Milton Welsh,Er,2004,11,Sonntag im August,movie,Acting,1,902,2022-09-03 17:01:12,2022-09-03 17:01:12
Mark Hamill,Luke Skywalker,1977,12,Star Wars,movie,Acting,0,2,2022-09-03 17:01:12,2022-09-03 17:01:12
Harrison Ford,Han Solo,1977,12,Star Wars,movie,Acting,1,3,2022-09-03 17:01:12,2022-09-03 17:01:12
Carrie Fisher,Princess Leia Organa,1977,12,Star Wars,movie,Acting,2,4,2022-09-03 17:01:12,2022-09-03 17:01:12
Peter Cushing,Grand Moff Tarkin,1977,12,Star Wars,movie,Acting,3,5,2022-09-03 17:01:12,2022-09-03 17:01:12
Alec Guinness,"Obi-Wan ""Ben"" Kenobi",1977,12,Star Wars,movie,Acting,4,12248,2022-09-03 17:01:12,2022-09-03 17:01:12
Anthony Daniels,C-3PO,1977,12,Star Wars,movie,Acting,5,6,2022-09-03 17:01:12,2022-09-03 17:01:12
Kenny Baker,R2-D2,1977,12,Star Wars,movie,Acting,6,130,2022-09-03 17:01:12,2022-09-03 17:01:12
Peter Mayhew,Chewbacca,1977,12,Star Wars,movie,Acting,7,24343,2022-09-03 17:01:12,2022-09-03 17:01:12
David Prowse,Darth Vader (performer),1977,12,Star Wars,movie,Acting,8,24342,2022-09-03 17:01:12,2022-09-03 17:01:12
James Earl Jones,Darth Vader (voice),1977,12,Star Wars,movie,Acting,9,15152,2022-09-03 17:01:12,2022-09-03 17:01:12
Phil Brown,Uncle Owen,1977,12,Star Wars,movie,Acting,10,33032,2022-09-03 17:01:12,2022-09-03 17:01:12
Shelagh Fraser,Aunt Beru,1977,12,Star Wars,movie,Acting,11,131625,2022-09-03 17:01:12,2022-09-03 17:01:12
Jack Purvis,Chief Jawa,1977,12,Star Wars,movie,Acting,12,132538,2022-09-03 17:01:12,2022-09-03 17:01:12
