movie_id,actor_id,cast_name,role_priority,created_at,updated_at
12,1271076,Isaac Grand,54,2022-09-03 17:01:12,2022-09-03 17:01:12
12,1271078,Reg Harding,55,2022-09-03 17:01:12,2022-09-03 17:01:12
12,964699,Alan Harris,56,2022-09-03 17:01:12,2022-09-03 17:01:12
12,1271079,Frank Henson,57,2022-09-03 17:01:12,2022-09-03 17:01:12
12,1271080,Christine Hewett,58,2022-09-03 17:01:12,2022-09-03 17:01:12
12,1271081,Arthur Howell,59,2022-09-03 17:01:12,2022-09-03 17:01:12
12,1271082,Tommy Ilsley,60,2022-09-03 17:01:12,2022-09-03 17:01:12
12,4945,Joe Johnston,61,2022-09-03 17:01:12,2022-09-03 17:01:12
12,1271083,Annette Jones,62,2022-09-03 17:01:12,2022-09-03 17:01:12
12,1148750,Linda Jones,63,2022-09-03 17:01:12,2022-09-03 17:01:12
12,201344,Joe Kaye,64,2022-09-03 17:01:12,2022-09-03 17:01:12
12,1271085,Colin Michael Kitchens,65,2022-09-03 17:01:12,2022-09-03 17:01:12
12,1271086,Melissa Kurtz,66,2022-09-03 17:01:12,2022-09-03 17:01:12
12,1190780,Tiffany Hillkurtz,67,2022-09-03 17:01:12,2022-09-03 17:01:12
12,190453,Al Lampert,68,2022-09-03 17:01:12,2022-09-03 17:01:12
12,1012562,Anthony Lang,69,2022-09-03 17:01:12,2022-09-03 17:01:12
12,1271091,Laine Liska,70,2022-09-03 17:01:12,2022-09-03 17:01:12
12,1271092,Derek Lyons,71,2022-09-03 17:01:12,2022-09-03 17:01:12
12,1271095,Mahjoub,72,2022-09-03 17:01:12,2022-09-03 17:01:12
12,1271096,Alf Mangan,73,2022-09-03 17:01:12,2022-09-03 17:01:12
12,1271102,Grant McCune,74,2022-09-03 17:01:12,2022-09-03 17:01:12
12,1271104,Geoffrey Moon,75,2022-09-03 17:01:12,2022-09-03 17:01:12
12,1271106,Mandy Morton,76,2022-09-03 17:01:12,2022-09-03 17:01:12
12,1271107,Lorne Peterson,77,2022-09-03 17:01:12,2022-09-03 17:01:12
12,1183443,Marcus Powell,78,2022-09-03 17:01:12,2022-09-03 17:01:12
12,10657,Shane Rimmer,79,2022-09-03 17:01:12,2022-09-03 17:01:12
12,1271116,Pam Rose,80,2022-09-03 17:01:12,2022-09-03 17:01:12
12,110319,George Roubicek,81,2022-09-03 17:01:12,2022-09-03 17:01:12
12,1271121,Erica Simmons,82,2022-09-03 17:01:12,2022-09-03 17:01:12
12,1271122,Angela Staines,83,2022-09-03 17:01:12,2022-09-03 17:01:12
12,1271123,George Stock,84,2022-09-03 17:01:12,2022-09-03 17:01:12
12,1271124,Roy Straite,85,2022-09-03 17:01:12,2022-09-03 17:01:12
12,1271125,Peter Sturgeon,86,2022-09-03 17:01:12,2022-09-03 17:01:12
12,187398,Peter Sumner,87,2022-09-03 17:01:12,2022-09-03 17:01:12
12,1271126,John Sylla,88,2022-09-03 17:01:12,2022-09-03 17:01:12
12,390158,Tom Sylla,89,2022-09-03 17:01:12,2022-09-03 17:01:12
12,166258,Malcolm Tierney,90,2022-09-03 17:01:12,2022-09-03 17:01:12
12,7727,Phil Tippett,91,2022-09-03 17:01:12,2022-09-03 17:01:12
12,184980,Burnell Tucker,92,2022-09-03 17:01:12,2022-09-03 17:01:12
12,160947,Morgan Upton,93,2022-09-03 17:01:12,2022-09-03 17:01:12
12,161301,Jerry Walter,94,2022-09-03 17:01:12,2022-09-03 17:01:12
12,1271127,Hal Wamsley,95,2022-09-03 17:01:12,2022-09-03 17:01:12
12,159108,Larry Ward,96,2022-09-03 17:01:12,2022-09-03 17:01:12
12,1271128,Diana Sadley Way,97,2022-09-03 17:01:12,2022-09-03 17:01:12
12,24278,Bill Weston,98,2022-09-03 17:01:12,2022-09-03 17:01:12
12,1271131,Fred Wood,99,2022-09-03 17:01:12,2022-09-03 17:01:12
12,301657,Colin Higgins,100,2022-09-03 17:01:12,2022-09-03 17:01:12
12,1490615,Ron Tarr,101,2022-09-03 17:01:12,2022-09-03 17:01:12
12,227857,Anthony Forrest,102,2022-09-03 17:01:12,2022-09-03 17:01:12
12,2646226,Frances Alfred Basil Tomlin,103,2022-09-03 17:01:12,2022-09-03 17:01:12
12,2724038,Ronny Cush,104,2022-09-03 17:01:12,2022-09-03 17:01:12
13,13,Albert Brooks,0,2022-09-03 17:01:13,2022-09-03 17:01:13
13,14,Ellen DeGeneres,1,2022-09-03 17:01:13,2022-09-03 17:01:13
13,12,Alexander Gould,2,2022-09-03 17:01:13,2022-09-03 17:01:13
13,5293,Willem Dafoe,3,2022-09-03 17:01:13,2022-09-03 17:01:13
13,18,Brad Garrett,4,2022-09-03 17:01:13,2022-09-03 17:01:13
13,19,Allison Janney,5,2022-09-03 17:01:13,2022-09-03 17:01:13
13,6168,Austin Pendleton,6,2022-09-03 17:01:13,2022-09-03 17:01:13
13,17401,Stephen Root,7,2022-09-03 17:01:13,2022-09-03 17:01:13
13,14723,Vicki Lewis,8,2022-09-03 17:01:13,2022-09-03 17:01:13
13,7911,Joe Ranft,9,2022-09-03 17:01:13,2022-09-03 17:01:13
13,118,Geoffrey Rush,10,2022-09-03 17:01:13,2022-09-03 17:01:13
13,7,Andrew Stanton,11,2022-09-03 17:01:13,2022-09-03 17:01:13
13,20,Elizabeth Perkins,12,2022-09-03 17:01:13,2022-09-03 17:01:13
13,981048,Nicholas Bird,13,2022-09-03 17:01:13,2022-09-03 17:01:13
13,10,Bob Peterson,14,2022-09-03 17:01:13,2022-09-03 17:01:13
13,22,Barry Humphries,15,2022-09-03 17:01:13,2022-09-03 17:01:13
13,8783,Eric Bana,16,2022-09-03 17:01:13,2022-09-03 17:01:13
13,27752,Bruce Spence,17,2022-09-03 17:01:13,2022-09-03 17:01:13
13,23,Bill Hunter,18,2022-09-03 17:01:13,2022-09-03 17:01:13
13,981049,LuLu Ebeling,19,2022-09-03 17:01:13,2022-09-03 17:01:13
13,1211731,Jordan Ranft,20,2022-09-03 17:01:13,2022-09-03 17:01:13
13,1372790,Erica Beck,21,2022-09-03 17:01:13,2022-09-03 17:01:13
13,17190,Erik Per Sullivan,22,2022-09-03 17:01:13,2022-09-03 17:01:13
13,7907,John Ratzenberger,23,2022-09-03 17:01:13,2022-09-03 17:01:13
13,59784,Carlos Alazraqui,24,2022-09-03 17:01:13,2022-09-03 17:01:13
13,91776,Alec Medlock,25,2022-09-03 17:01:13,2022-09-03 17:01:13
13,78317,Bob Bergen,26,2022-09-03 17:01:13,2022-09-03 17:01:13
13,1440346,Nicole Miller,27,2022-09-03 17:01:13,2022-09-03 17:01:13
13,28746,Geoff Brooks,28,2022-09-03 17:01:13,2022-09-03 17:01:13
13,1356958,Lisa Peers,29,2022-09-03 17:01:13,2022-09-03 17:01:13
13,86006,Paul Eiding,30,2022-09-03 17:01:13,2022-09-03 17:01:13
13,61969,Phil Proctor,31,2022-09-03 17:01:13,2022-09-03 17:01:13
13,3398277,Leland Grossman,32,2022-09-03 17:01:13,2022-09-03 17:01:13
13,57675,Daryl Sabara,33,2022-09-03 17:01:13,2022-09-03 17:01:13
13,3147350,Lili Ishida,34,2022-09-03 17:01:13,2022-09-03 17:01:13
13,1224858,Emmett Shoemaker,35,2022-09-03 17:01:13,2022-09-03 17:01:13
13,75322,Oliver Kindred,36,2022-09-03 17:01:13,2022-09-03 17:01:13
13,3398279,Ben Stanton,37,2022-09-03 17:01:13,2022-09-03 17:01:13
13,52699,Danny Mann,38,2022-09-03 17:01:13,2022-09-03 17:01:13
13,3149499,Kali Whitehurst,39,2022-09-03 17:01:13,2022-09-03 17:01:13
