name,character,year,movie_tv_id,movie_tv_name,type,department,order,actor_id
Phil Brown,Uncle Owen,1977,12,Star Wars,movie,Acting,10,33032
Shelagh Fraser,Aunt Beru,1977,12,Star Wars,movie,Acting,11,131625
Jack Purvis,Chief Jawa,1977,12,Star Wars,movie,Acting,12,132538
Alex McCrindle,General Dodonna,1977,12,Star Wars,movie,Acting,13,216087
Eddie Byrne,General Willard,1977,12,Star Wars,movie,Acting,14,69249
Drewe Henley,Red Leader,1977,12,Star Wars,movie,Acting,15,47401
Denis Lawson,Red Two (Wedge Antilles),1977,12,Star Wars,movie,Acting,16,47698
Garrick Hagon,Red Three (Biggs Darklighter),1977,12,Star Wars,movie,Acting,17,17356
Jack Klaff,"Red Four (John ""D"")",1977,12,Star Wars,movie,Acting,18,162432
William Hootkins,Red Six (Porkins),1977,12,Star Wars,movie,Acting,19,663
Angus MacInnes,Gold Leader,1977,12,Star Wars,movie,Acting,20,58475
Jeremy Sinden,Gold Two,1977,12,Star Wars,movie,Acting,21,151819
Graham Ashley,Gold Five,1977,12,Star Wars,movie,Acting,22,202276
Don Henderson,General Taggi,1977,12,Star Wars,movie,Acting,23,42570
Richard LeParmentier,General Motti,1977,12,Star Wars,movie,Acting,24,12829
Leslie Schofield,Commander #1,1977,12,Star Wars,movie,Acting,25,79489
Michael Leader,Stormtrooper,1977,12,Star Wars,movie,Acting,26,1729623
David Ankrum,"Red Two, Wedge Antilles (voice) (uncredited)",1977,12,Star Wars,movie,Acting,27,1216947
Scott Beach,Stormtrooper (voice) (uncredited),1977,12,Star Wars,movie,Acting,28,3044
Lightning Bear,Stormtrooper (uncredited),1977,12,Star Wars,movie,Crew,29,1271059
Jon Berg,Cantina Alien (uncredited),1977,12,Star Wars,movie,Acting,30,1271060
Doug Beswick,Cantina Alien (uncredited),1977,12,Star Wars,movie,Visual Effects,31,1271061
Paul Blake,Greedo (uncredited),1977,12,Star Wars,movie,Acting,32,199356
Janice Burchette,Nabrun Leids (uncredited),1977,12,Star Wars,movie,Acting,33,1271062
Ted Burnett,Wuher (uncredited),1977,12,Star Wars,movie,Acting,34,1271063
John Chapman,Drifter (Red 12) (uncredited),1977,12,Star Wars,movie,Acting,35,1271064
Gilda Cohen,Cantina Patron (uncredited),1977,12,Star Wars,movie,Acting,36,1271065
Tim Condren,Stormtrooper (uncredited),1977,12,Star Wars,movie,Acting,37,1178140
Barry Copping,Wioslea (uncredited),1977,12,Star Wars,movie,Acting,38,186229
Alfie Curtis,Dr. Evazan (uncredited),1977,12,Star Wars,movie,Acting,39,1271066
Robert Davies,Cantina Patron (uncredited),1977,12,Star Wars,movie,Acting,40,1271067
Maria De Aragon,Greedo (uncredited),1977,12,Star Wars,movie,Acting,41,104149
Robert A. Denham,Hrchek Kal Fas (uncredited),1977,12,Star Wars,movie,Acting,42,1271068
Frazer Diamond,Jawa (uncredited),1977,12,Star Wars,movie,Acting,43,1271069
