movie_id,actor_id,cast_name,role_priority
13,7882,Jeff Pidgeon,45
13,81843,Jennifer Darling,46
13,53209,Aaron Fors,47
13,8066,Katherine Ringgold,48
13,84495,Jess Harnell,49
13,12914,David Ian Salter,50
13,3398285,Caroline Kindred,51
13,214701,Sherry Lynn,52
13,86007,Jim Ward,53
13,84493,Mickie McGowan,54
13,19545,Jack Angel,55
13,54722,Laura Marano,56
13,12078,Bobby Block,57
13,35159,Laraine Newman,58
13,42000,Jane Carr,59
13,61304,Jessie Flower,60
13,157626,Jan Rabson,61
13,2150365,Bradley Trevor Greive,62
13,38407,Evan Sabara,63
13,62646,Marc John Jefferies,64
13,181464,Eliza Schneider,65
13,8,Lee Unkrich,66
13,1231571,Noah Luke,67
