name,year,movie_tv_id,movie_tv_name,type,department,job,actor_id
Marilyn Vance,1993,9,Judgment Night,movie,Production,Executive Producer,7719
Joseph C. Nemec III,1993,9,Judgment Night,movie,Art,Production Design,9990
Dan Olexiewicz,1993,9,Judgment Night,movie,Art,Art Direction,14040
Lloyd Segan,1993,9,Judgment Night,movie,Production,Executive Producer,20784
Tim Wellburn,1993,9,Judgment Night,movie,Editing,Editor,71194
Jere Cunningham,1993,9,Judgment Night,movie,Writing,Story,1088307
Kris Wiseman McIntyre,1993,9,Judgment Night,movie,Production,Associate Producer,1472642
Christopher Mollo,1993,9,Judgment Night,movie,Production,Associate Producer,1498452
Michael Glawogger,2006,10,Life in Loops (A Megacities RMX),movie,Writing,Screenplay,801
Timo Novotny,2006,10,Life in Loops (A Megacities RMX),movie,Writing,Screenplay,34833
Timo Novotny,2006,10,Life in Loops (A Megacities RMX),movie,Directing,Director,34833
Timo Novotny,2006,10,Life in Loops (A Megacities RMX),movie,Editing,Editor,34833
Timo Novotny,2006,10,Life in Loops (A Megacities RMX),movie,Production,Producer,34833
Wolfgang Thaler,2006,10,Life in Loops (A Megacities RMX),movie,Camera,Director of Photography,803
Gerald Schober,2006,10,Life in Loops (A Megacities RMX),movie,Editing,Editor,34834
Armin Herzog,2006,10,Life in Loops (A Megacities RMX),movie,Editing,Editor,34835
Sofa Surfers,2006,10,Life in Loops (A Megacities RMX),movie,Sound,Music,65382
Ulrich Gehmacher,2006,10,Life in Loops (A Megacities RMX),movie,Production,Producer,143486
Marc Meyer,2004,11,Sonntag im August,movie,Directing,Director,867
Marc Meyer,2004,11,Sonntag im August,movie,Editing,Editor,867
Marc Meyer,2004,11,Sonntag im August,movie,Production,Producer,867
Marc Meyer,2004,11,Sonntag im August,movie,Writing,Author,867
Peter Polsak-Lohmann,2004,11,Sonntag im August,movie,Camera,Director of Photography,875
Moritz Hoffmeister,2004,11,Sonntag im August,movie,Sound,Sound Designer,891
Anna Haas,2004,11,Sonntag im August,movie,Directing,Director,914
Jesko Klatt,2004,11,Sonntag im August,movie,Camera,Underwater Camera,917
Jan Raiber,2004,11,Sonntag im August,movie,Visual Effects,Animation,919
Christian Biegai,2004,11,Sonntag im August,movie,Sound,Original Music Composer,15360
George Lucas,1977,12,Star Wars,movie,Directing,Director,1
George Lucas,1977,12,Star Wars,movie,Production,Executive Producer,1
George Lucas,1977,12,Star Wars,movie,Writing,Writer,1
Gary Kurtz,1977,12,Star Wars,movie,Production,Producer,12401
Rick McCallum,1977,12,Star Wars,movie,Production,Producer,19801
John Williams,1977,12,Star Wars,movie,Sound,Original Music Composer,491
Gilbert Taylor,1977,12,Star Wars,movie,Camera,Director of Photography,7753
Vic Ramos,1977,12,Star Wars,movie,Production,Casting,3176
Irene Lamb,1977,12,Star Wars,movie,Production,Casting,390
